TAG,COMMON_NAM,GENUS,SPECIES,UPDATED,CULTIVAR,VAR,FORMA,SUBSP,SHYBRID,CONDITION,SIGNIFICANT,HAZARDS,DBH,NOTES,LAT,LONG
4789,"Maple, Norway",Acer,platanoides,,Crimson King,,,,,G,,,,,49.26562336699871,-123.25642892336677
4271,"Cedar, Western red",Thuja,plicata,,Zebrina,,,,,G,,Tag/Nail in Tree,,,49.26040258449943,-123.25352818251756
5954,"Oak, red",Quercus,rubra,,,,,,,G,Class Tree - 1924,,,,49.26587598624432,-123.25551071936275
8569,,Pseudotsuga,menziesii,20100316,,,,,,,,,,,49.26695527907642,-123.26152293304183
8596,,Acer,macrophyllum,20100316,,,,,,,,,,,49.266984136178735,-123.26111665495296
8601,,Acer,palmatum,20100316,,,,,,,,,,,49.26700405124931,-123.26107102299466
8606,,Thuja,plicata,20100316,,,,,,,,,,,49.266951635938405,-123.26100303164765
8611,,Tsuga,heterophylla,20100316,,,,,,,,,,,49.26693595978663,-123.26096209989169
9144,,Acer,circinatum,20100316,,,,,,,,,,,49.264114654593264,-123.25954333791698
9616,,Magnolia,soulangeana,20100316,,,,,,,,,,,49.266842817946,-123.25268015738939
8970,,Alnus,rubra,20100316,,,,,,,,,,,49.265661644487,-123.25671402967562
9195,,Thuja,plicata,20100316,,,,,,,,,,,49.26565812883882,-123.25863088660118
9884,,Acer,platanoides,20100316,,,,,,,,,,,49.26958896769395,-123.24786597985964
9735,,Cercidiphyllum,japonicum,20100316,,,,,,,,,,,49.26665745450147,-123.24896745976353
9036,,Thuja,plicata,20100316,,,,,,,,,,,49.263676786165945,-123.25718048569696
9748,,Cedrus,atlantica,20100316,,,,,,,,,,,49.26674285295202,-123.2482929080112
9730,,Acer,palmatum,20100316,,,,,,,,,,,49.26652524691366,-123.24899480915717
9725,,Acer,palmatum,20100316,,,,,,,,,,,49.26657864964675,-123.24913253388651
9534,,Thuja,plicata,20100316,,,,,,,,,,,49.26593138081808,-123.25875468494708
9537,,Thuja,plicata,20100316,,,,,,,,,,,49.26590334883137,-123.25886360301037
9754,,Acer,japonicum,20100316,,,,,,,,,,,49.26828825370411,-123.24945791428719
8201,,Acer,palmatum,20100316,,,,,,,,,,,49.266541241181486,-123.25842180047867
9512,,Thuja,plicata,20100316,,,,,,,,,,,49.265843563073574,-123.2593256972972
9503,,Thuja,plicata,20100316,,,,,,,,,,,49.26580189150242,-123.25953937697105
8794,,Thuja,plicata,20100316,,,,,,,,,,,49.26830518961628,-123.26105909348706
6785,,Thuja,plicata,20100316,,,,,,,,,,,49.26700451235918,-123.25948389994157
8754,,Acer,macrophyllum,20100316,,,,,,,,,,,49.26824108116478,-123.26058272143041
6813,,Thuja,plicata,20100316,,,,,,,,,,,49.26659163118349,-123.25906381342892
9775,,Picea,omorika,20100316,,,,,,,,,,,49.26950958504798,-123.24915326467213
9114,,Thuja,plicata,20100316,,,,,,,,,,,49.26369552351432,-123.25920588397419
9274,,Thuja,plicata,20100316,,,,,,,,,,,49.2633199180652,-123.2587332369293
9265,,Thuja,plicata,20100316,,,,,,,,,,,49.263005518108685,-123.2583879552626
9778,,Cornus,kousa,20100316,,,,,,,,,,,49.26982422598553,-123.24894571608647
9496,,Thuja,plicata,20100316,,,,,,,,,,,49.26573065341414,-123.25955921705973
9102,,Thuja,plicata,20100316,,,,,,,,,,,49.263342115068404,-123.25869891047509
9095,,Thuja,plicata,20100316,,,,,,,,,,,49.26323657940328,-123.25842083185701
8339,Golden Locust,Robinia,pseudoacacia,20060101,Frisia,,,,,,,,,,49.2603803817276,-123.24956175548772
8332,Golden Locust,Robinia,pseudoacacia,20060101,Frisia,,,,,,,,,,49.26019166281133,-123.25010008838429
8291,Red Sunset Maple,Acer,rubrum,20051201,Red Sunset,,,,,,,,,,49.26115941812515,-123.24248812308096
8233,Karpick Red Maple,Acer,rubrum,20051201,Karpick,,,,,,,,,,49.26084535525034,-123.24398708913093
2678,"Oak, English",Quercus,robur,,fastigiata,,,,,G,Class Tree - 1958,,,,49.26484807306371,-123.24938278756963
8247,'Emerald Queen' Norway Maple,Acer,platanoides,20051201,Emerald Queen,,,,,,,,,,49.26200444301547,-123.24181187516369
5725,"Cottonwood, Black",Populus,trichocarpa,,tricocarpa,,,,,G,,,,,49.268441044375905,-123.25455144950881
2472,"Hormbeam, Fastigiate",Carpinus,betulus,,Fastigiata,,,,,F,,,,,49.26854000305815,-123.25142729435628
7925,"Hormbeam, Fastigiate",Carpinus,betulus,,Fastigiata,,,,,G,,,,,49.26369484943861,-123.25368415726261
4948,"Pine, Shore",Pinus,contorta,,Contorta,,,,,F,,,,,49.26192764703032,-123.25746968981893
8314,Golden Locust,Robinia,pseudoacacia,20060101,Frisia,,,,,,,,,,49.26035883460585,-123.24989301242312
8251,Karpick Red Maple,Acer,rubrum,,Karpick,,,,,,,,,,49.26115484662721,-123.24276532725861
8246,'Emerald Queen' Norway Maple,Acer,platanoides,20051201,Emerald Queen,,,,,,,,,,49.262096998010804,-123.24191175856213
4787,"Maple, Norway",Acer,platanoides,,Crimson King,,,,,G,,Tag/Nail in Tree,,,49.26543032046957,-123.25626969849112
3036,"Oak, English",Quercus,robur,,fastigiata,,,,,G,,,,,49.26512268380407,-123.24730813989193
7292,"Cedar, Western red",Thuja,plicata,,Excelsa,,,,,G,,Inaccessable Tags,,,49.25846927048657,-123.23819586042814
5506,"Beech, European 'Fastigiate'",Fagus,sylvatica,,fastigiata,,,,,G,,,,,49.260238263404275,-123.24716279589741
870,"Cedar, Pyramid",Thuja,occidentalis,,pyramidalis,,,,,G,,,,,49.26477371759054,-123.24350015365852
99991277,Big Leaf Maple,Acer,macrophyllum,20051201,,,,,,,,,,,49.26125030333885,-123.24606865446859
5977,Katsura,Cercidiphyllum,japonicum,,,,,,,G,,,,,49.26626605368093,-123.25493453701252
7920,"Maple, Fullmoon",Acer,japonicum,,,,,,,G,,,,,49.26371387812608,-123.2541290020238
3350,"Oak, Scarlet",Quercus,coccinea,,,,,,,G,,,,,49.260988512422145,-123.24501785004519
5456,"Beech, European 'Fastigiate'",Fagus,sylvatica,,fastigiata,,,,,G,,,,,49.258944845562,-123.24986738302613
99991175,Akebono Yoshino Cherry,Prunus,yedoensis,20060101,Akebono,,,,,,,,,,49.26198120848604,-123.2557445837012
99991181,Akebono Yoshino Cherry,Prunus,yedoensis,20060101,Akebono,,,,,,,,,,49.261965201550886,-123.25568765779327
99991187,Halka Honey Locust,Gleditsia,triacanthos,,Halka,,,,,,,,,,49.26202948711742,-123.25614600440639
99991246,'Forest Pansy' Eastern Redbud,Cercis,canadensis,20060101,Forest Pansy,,,,,,,,,,49.26426652017788,-123.24765713324709
6913,,Pseudotsuga,menziesii,20100316,,,,,,,,,,,49.267134186041545,-123.25840800661496
8985,,,,20100316,,,,,,,,,,,49.26407002143377,-123.2554651797937
9083,,Ilex,aquifolium,20100316,,,,,,,,,,,49.263152396128724,-123.25736243039483
