TREEID,FAMILY,TAXA,COMMON_NAME,TAG,TAGID,LIVE_TREE,DBH,THEIGHT,HEIGHT_LIVETOP,HEIGHT_LIVEBASE,CROWNWIDTH1,CROWNWIDTH2,CANOPYMISSING,CROWN_LIGHTEXP,NUM_STEMS,TEAM,TREE_TYPE,DATE_MEASURE,TREE_ID_YR,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
5320,,Acer circinatum,Vine Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175837,PLAN,20190620220322
2846,,Ilex,Holly,N,,Live,10,5.66,5.66,1.62,2.61,3.21,8,2,,4,,,,,PLAN,20190614175927,PLAN,20190620220233
7081,,Acer palmatum,Japanese Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175854,PLAN,20190620220319
2053,,Catalpa speciosa,Indian-Bean,,,,,,,,,,,,,,,,,,PLAN,20190614175910,PLAN,20190620220215
5153,,Thuja plicata,Pacific Red-Cedar,,,,,,,,,,,,,,,,,,PLAN,20190614175827,PLAN,20190620215958
4347,,Acer circinatum,Vine Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175828,PLAN,20190620215959
4834,,Cercidiphyllum japonicum,Katsura-Tree,,,,,,,,,,,,,,,,,,PLAN,20190614175838,PLAN,20190620220336
3027,,Crataegus laevigata,Midland Hawthorn,,,,,,,,,,,,,,,,,,PLAN,20190614175827,PLAN,20190620220022
2240,,Ginkgo biloba,Ginkgo,N,,Live,38,7.96,7.96,1.98,4.3500000000000005,3.54,45,3,,6,,,,,PLAN,20190614175917,PLAN,20190620220223
2852,,Acer rubrum,Red Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175847,PLAN,20190620220108
4872,,Thuja plicata,Pacific Red-Cedar,,,,,,,,,,,,,,,,,,PLAN,20190614175838,PLAN,20190620220304
7135,,Pinus nigra,Black Pine,N,,Live,78,22.330000000000002,22.330000000000002,6.390000000000001,15.35,14,20,3,,4,,,,TREEID: M1 - 49.264611; -123.2539382,PLAN,20190620210629,PLAN,20190620220331
5204,,Cornus florida,Flowering Dogwood,,,,,,,,,,,,,,,,,,PLAN,20190614175814,PLAN,20190620220337
4417,,Acer palmatum,Japanese Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175829,PLAN,20190620220043
3906,,Stewartia pseudocamellia,Korean Stewartia,,,,,,,,,,,,,,,,,,PLAN,20190614175901,PLAN,20190620220150
5394,,Liquidambar styraciflua,Alligator-Wood,,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20190620220139
6531,,Acer circinatum,Vine Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175850,PLAN,20190620220131
3941,,Cornus kousa,Japanese Dogwood,N,,Live,6,4.5,3.4,1.1,2.1,1.9000000000000001,1,3,,8,,,,,PLAN,20190614175919,PLAN,20190620220238
5052,,Thuja plicata,Pacific Red-Cedar,,,,,,,,,,,,,,,,,,PLAN,20190614175830,PLAN,20190620220332
2862,,Betula papyrifera,Canoe Birch,,,,,,,,,,,,,,,,,,PLAN,20190614175847,PLAN,20190620220109
6429,,Acer palmatum,Japanese Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175900,PLAN,20190620220140
5431,,Hamamelis,Witch-Hazel,,,,,,,,,,,,,,,,,,PLAN,20190614175858,PLAN,20190620220124
3111,,Ulmus americana,American Elm,,,,,,,,,,,,,,,,,,PLAN,20190614175818,PLAN,20190620215948
966,,Liquidambar styraciflua,Alligator-Wood,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20190620220212
2631,,Pinus nigra,Black Pine,,,,,,,,,,,,,,,,,,PLAN,20190614175849,PLAN,20190620220121
5336,,Pinus,Pine,,,,,,,,,,,,,,,,,,PLAN,20190614175837,PLAN,20190620220050
5184,,Sequoiadendron giganteum,Giant-Sequoia,,,,,,,,,,,,,,,,,,PLAN,20190614175812,PLAN,20190620215949
6592,,Tilia americana,,,,,,,,,,,,,,,,,,,PLAN,20190614175903,PLAN,20190620215249
2976,,Ginkgo biloba,Ginkgo,,,,,,,,,,,,,,,,,,PLAN,20190614175823,PLAN,20190620220020
4890,,Pseudotsuga menziesii,Douglas-Fir,Y,11006,Live,37,20.59,20.59,2.69,6.2700000000000005,5.29,5,4,,10,,,,,PLAN,20190614175916,PLAN,20190620220222
5245,,Arbutus menziesii,Pacific Madrone,,,,,,,,,,,,,,,,,,PLAN,20190614175833,PLAN,20190620220039
3876,,Acer palmatum,Japanese Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175901,PLAN,20190620220144
2241,,Ginkgo biloba,Ginkgo,N,,Live,33,6.94,6.94,1.94,2.93,2.69,40,3,,6,,,,,PLAN,20190614175911,PLAN,20190620220230
4898,,Thuja plicata,Pacific Red-Cedar,,,,,,,,,,,,,,,,,,PLAN,20190614175838,PLAN,20190620220309
6562,,Acer circinatum,Vine Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175901,PLAN,20190620220142
4304,,Acer circinatum,Vine Maple,,,,,,,,,,,,,,,,,,PLAN,20190614175907,PLAN,20190620220327
5154,,Liriodendron tulipifera,Tulip-Poplar,,,,,,,,,,,,,,,,,,PLAN,20190614175827,PLAN,20190620215958
3040,,Prunus serrulata,Japanese Cherry,,,,,,,,,,,,,,,,,,PLAN,20190614175827,PLAN,20190620220023
2036,,Quercus rubra,Northern Red Oak,N,,Live,48,18.330000000000002,18.330000000000002,2.6,15.16,14.76,10,5,,9,,,,,PLAN,20190614175928,PLAN,20190620220302
2929,,Tilia americana,,Y,5847,Live,45,19.67,17.68,2.74,18.7,15.27,25,4,,3,,,,,PLAN,20190614175927,PLAN,20190620215252
6616,,Thuja plicata,Pacific Red-Cedar,,,,,,,,,,,,,,,,,,PLAN,20190614175905,PLAN,20190620220149
3907,,Stewartia pseudocamellia,Korean Stewartia,,,,,,,,,,,,,,,,,,PLAN,20190614175902,PLAN,20190620220150
4435,,Thuja plicata,Pacific Red-Cedar,,,,,,,,,,,,,,,,,,PLAN,20190614175829,PLAN,20190620220047
7054,,Pseudotsuga menziesii,Douglas-Fir,,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20190620220309
2115,,Quercus rubra,Northern Red Oak,N,,Live,145,22.400000000000002,22.400000000000002,2.8000000000000003,28.67,24.36,10,5,,9,,,,,PLAN,20190614175929,PLAN,20190620220251
2609,,Carpinus betulus,European Hornbeam,,,,,,,,,,,,,,,,,,PLAN,20190614175848,PLAN,20190620220120
