TYPE,BUILDINGNA,LOCATION,AREATYPE,STATUS,CCP_ADD,HAND_MOW,GLOBALID,SHAPE.AREA,SHAPE.LEN
OS Planting Bed,Rose Garden,Rose Garden,Garden,,,,{92D72F7A-DBDA-48EB-8B8F-3A1C0A8BD7B2},54.17783884,49.896639677404103
OS Planting Bed,Rose Garden,,,,,,{56250035-A9CC-4781-97CE-F97B46685E41},698.106303615,276.85314629791105
OS Planting Bed,Rose Garden,Rose Garden,Garden,,,,{45117648-49C6-4A14-88EB-0019E3B7919F},103.06744051,95.991838177582196
OS Planting Bed,Rose Garden,Rose Garden,Garden,,,,{6DD2F30B-EC4E-44A5-BC29-8EA560603C88},13.345969634999999,12.950691528907699
OS Planting Bed,Rose Garden,Rose Garden,Garden,,,,{7D3991E3-7FBF-4D89-AFA6-1E7389C4CCFF},90.521580020000002,66.255116626457408
OS Planting Bed,Rose Garden,Rose Garden,Garden,,,,{5D726504-70DE-4B97-9062-DED1409AB359},65.415574649999996,51.591591773339204
Planting Bed,Chan Centre,Chan Centre,,,,,{8AC89305-90DD-4621-A02A-631A601C024F},43.144989735000003,27.070684365885501
OS Planting Bed,Rose Garden,Rose Garden,Garden,,,,{52C2EB59-5D16-4583-8CC4-DAE6E1B90432},4.7366061999999998,7.7160565589278498
OS Planting Bed,Public,Public,,,,,{71F1F4B8-A1A5-48B2-90B6-392BA30F6CED},304.43795244500001,97.9354188875962
OS Planting Bed,Rose Garden,Rose Garden,Garden,,,,{C454577A-9C19-4744-8B3A-424C604C5CAA},3.860161535,6.9656904704775195
OS Planting Bed,Rose Garden,Rose Garden,Garden,,,,{2251773F-6437-4382-9C7E-EBAFA7B84242},4.7370052200000003,7.7160412346669895
OS Planting Bed,Rose Garden,Rose Garden,Garden,,,,{5D78AB6F-79B1-46E0-916F-5D080BEBED82},118.632987445,50.3791432068668
OS Planting Bed,Rose Garden,Rose Garden,Garden,,,,{FD075FA4-4AC2-4E28-9352-5E99690ED6D5},236.24442221999999,107.14810544608299
Planting Bed,Public,Public,,,,,{32F48EB4-074F-4BD6-A6FF-9CC3A1870E45},79.316296949999995,35.179294107344397
Planting Bed,Chan Centre,Chan Centre,,,,,{47264863-ADFC-498D-A95A-89DBBD492131},465.03806853999998,87.374664634657293
Planting Bed,Asian Centre,Asian Centre,,,,,{74E6E82F-0E50-412C-849D-D8BC06BE51D7},403.66161684500003,90.772187428780796
Lawn,,,,,yes,,{9296AEB6-B9EB-4F85-9CD0-28E3DE8D5581},502.306188905,208.47308520706503
Wild,Public,Public,,,,,{83F91BAA-C6C6-453D-AA45-A8D1AAA1DC8C},1669.2094410350001,198.942314926763
Planting Bed,Liu Centre,Liu Centre,,,,,{E3339B2C-258D-4E2A-9D97-F398315F5A17},25.283068199999999,19.958410003304699
Planting Bed,Liu Centre,Liu Centre,,,,,{7AE28B29-972E-4267-968D-0A816F36193A},87.272799124999992,57.519869092158103
Lawn,Liu Centre,Liu Centre,,,,,{24958815-D376-48D4-B47E-3794BE5E059F},90.367594065000006,68.198757126967507
Planting Bed,Liu Centre,Liu Centre,,,,,{3A1947C5-05ED-4E83-8146-D86A6F1A83C4},11.276927855,16.487187085772003
Planting Bed,International House,International House,,,,,{9BE308C3-3483-429D-9893-A55888782B6D},22.78899148,23.304300029785598
Planting Bed,Public,Public,Parking,,,,{681D537A-73F7-4B4B-85DF-FB2FCF5B1C54},36.321682385000003,27.016189152567499
Planting Bed,,,,,yes,,{271CCEDB-BFF7-4B6F-8D86-EE30FB802AB5},9.6984100499999997,13.991582902289199
Planting Bed,,,,,yes,,{4C1C71D0-32FD-4ED5-9907-53648DB3B993},8.1653495700000001,12.0477947433927
Planting Bed,Public,Public - Scarfe,,,,,{F2847E86-793E-4E81-A442-21B3ADAC6DF0},314.17178340500004,88.533857267493801
Planting Bed,,,,,yes,,{D889335D-4162-42D5-8590-3BD57C500D5E},663.021714815,124.07225207848501
Planting Bed,Public,Public,Parking,,,,{AD266DBF-51A0-48F5-AC1A-82E1F2620E3F},15.8863089,22.931138583641999
Planting Bed,Public,Public,Parking,,,,{2066D6D3-777F-48FA-A6CD-5BB85ED44783},14.974039919999999,16.237352713845297
Planting Bed,Public,Public,Parking,,,,{269ACA6F-9F07-47B4-BFC9-71171B58AE2D},15.18194815,16.200687949503799
Planting Bed,Lasserre,Lasserre,,,,,{B527F205-BB31-40EE-83DA-20A3D2EBBAA7},97.148141115000001,51.944809116669198
Lawn,Sing Tao,Sing Tao,,,,,{91F4CDBD-F02F-45B6-8950-47B49149BDEA},12.81323735,15.940648927372999
Lawn,Sing Tao,Sing Tao,,,,,{D68CB0A0-7F18-4E7E-B46C-4B229E4AC268},84.247484580000005,42.007095402456898
Lawn,Sing Tao,Sing Tao,,,,,{760E1B0B-E69E-4E4D-B522-D78D7175602F},47.518192534999997,44.425765295580796
Planting Bed,Public,Public,,,,,{C5062EBF-B750-493D-B61C-C81026E69BA9},262.06638923499997,57.387429410411499
Planting Bed,Frederic Wood Theatre,Frederic Wood Theatr,,,,,{CF2E7AD8-A604-46E4-9914-3FB81A5E3186},0.73636321999999998,3.4358049439461897
Planting Bed,Frederic Wood Theatre,Frederic Wood Theatr,,,,,{04DE29ED-3352-4426-A180-D2E49BDDB145},0.79337648999999999,3.5675244064003797
Planting Bed,Frederic Wood Theatre,Frederic Wood Theatr,,,,,{8154C434-4B78-4EAA-B878-9407760250EB},12.39545333,27.589694045602698
Planting Bed,Frederic Wood Theatre,Frederic Wood Theatr,,,,,{4273ED3B-5623-41FC-B8ED-19FC15EB92F6},1.775672895,5.33863342740473
Planting Bed,Frederic Wood Theatre,Frederic Wood Theatr,,,,,{E0A707DA-8301-432C-A346-0D5FFDD10809},82.824115075000009,39.673829587277197
Planting Bed,Frederic Wood Theatre,Frederic Wood Theatr,,,,,{BCC5A057-D5DE-446D-8356-DFB5BC4FE595},12.356183215,14.0607840142866
Planting Bed,Frederic Wood Theatre,Frederic Wood Theatr,,,,,{C233ED9F-DB55-49F9-8664-113980B17BAB},12.241813135000001,13.996977730784899
Lawn,Belkin Art Gallery,Belkin Art Gallery,,,,,{98775C25-3068-49A0-B33F-0CA3A3B278D0},164.8716282,52.168121971195497
Planting Bed,Fraser Parkade,Fraser Parkade,,,,,{C9A4086A-CC1D-4D2C-ADEC-97E63C7C2A47},127.03564478,48.088624546200897
Planting Bed,Public,Public - West Mall A,,,,,{0589B0E7-E3EE-42C1-BD89-6C9430CB3CB3},39.251395965,25.422277588060798
Planting Bed,Public,Public - West Mall A,,,,,{9F68E8DC-2800-4186-9747-132BE90BB9B7},236.91215339999999,77.706314069621385
Planting Bed,Public,Public - Ponderosa,,,,,{133AF605-8FD9-4AF7-B50D-B31B1C6B943D},65.729005924999996,34.030929790135801
Planting Bed,Walter Gage Residence,Walter Gage Residenc,,,,,{002E5CA2-98B1-4005-8F9D-78BA51FD9B9C},408.43476958999997,98.270069458539794
Planting Bed,Museum of Anthropology,Museum of Anthropolo,,,,,{1210033B-5CC2-43F6-9A82-90BF93B860CB},14.827178140000001,17.073760727856001
Planting Bed,Green College,Green College,Garden,,,,{92213D77-F4A7-481D-8299-4733BF6FA1DB},59.949416934999995,42.226132360745297
Planting Bed,Green College,Green College,Garden,,,,{0ED124B2-472C-442B-874A-B0E7006D8114},32.755539124999999,26.790355337159497
Planting Bed,Green College,Green College,Garden,,,,{31765795-80D7-4C43-9D89-D2DD6FE989BD},34.234946020000002,27.274110918699702
Planting Bed,Green College,Green College,Garden,,,,{D4B904A3-FFF5-41B2-A71E-19990A547295},41.503450774999997,59.416958389347492
Lawn,Green College,Green College,,,,,{2BD7809D-9F03-4F21-A378-593E62A2FCD9},52.002279119999997,40.865635188318301
Planting Bed,Cecil Green Park House,Cecil Green Park Hou,Garden,,,,{35F61FEF-9C64-4044-869F-5465E6579D4F},56.318654235000004,44.341612828538601
Planting Bed,Cecil Green Park House,Cecil Green Park Hou,Garden,,,,{9C514A98-B663-48F8-A14F-03E3216380C5},43.48910042,35.129923198499995
Planting Bed,Cecil Green Park House,Cecil Green Park Hou,Garden,,,,{9993B48A-2EE6-46A9-BD53-001E36CC8976},5.6372616400000002,14.072269672033698
Planting Bed,Cecil Green Park House,Cecil Green Park Hou,Garden,,,,{7CDCFA9A-344E-4577-A2B6-CC5CA67ADECB},10.684492725,15.674199559626899
Lawn,North Parkade,North Parkade,,,,,{276FB582-DF82-477F-99EC-25A84ED377D8},407.47199384999999,162.37966297582602
Planting Bed,St. John's College,St. John's College,,,,,{5047FD59-1361-4B66-A543-B007D58412AB},59.890212554999998,29.077452330693596
Planting Bed,St. John's College,St. John's College,,,,,{A03052E1-F534-445E-82B3-0531F638E25E},58.338838969999998,37.147640033684006
Lawn,Public,Public - St. John's,,,,,{2C5DD9D4-A857-4145-B585-FC63D067465E},161.88242012499998,62.292261836826
Planting Bed,St. John's College,St. John's College,,,,,{ACCED016-1FF2-4C51-A523-4B213527470F},27.058100620000001,78.810270491095707
Planting Bed,St. John's College,St. John's College,,,,,{CD0ACBD7-FA5A-4E50-AA0A-EF1D53E3E828},7.7817505150000006,11.624135966809598
Planting Bed,St. John's College,St. John's College,,,,,{679678E7-8A44-4F48-8F32-B2502C0344EB},83.395850100000004,102.021962365577
Planting Bed,Chemistry Physics,Chemistry Physics,,,,,{0D45064B-7892-4B8A-9E81-50396A0850A9},10.89463333,13.1735700360233
Lawn,Green College,Green College,,,,,{2DCD3362-0CA3-46F8-AA4F-FC2E17A165E3},96.345137640000004,49.278084047799901
Lawn,Green College,Green College,,,,,{EC64E522-D461-4619-9C66-BBF57736C31D},30.757177185,28.070575100703497
Lawn,Green College,Green College,,,,,{D32F21A7-2EB1-4794-A7DA-8B3CF62843F4},21.089229925000001,22.582574625008299
Planting Bed,Green College,Green College,,,,,{5F120DC0-6316-4925-9DC6-57D313CB4F1E},42.450532879999997,49.194116722987403
Planting Bed,Green College,Green College,,,,,{E1F786D8-4524-4206-9F4A-43B4AEBA708A},14.374248379999999,17.495404177359202
Lawn,Green College,Green College,,,,,{05B8FA2E-47D5-4351-9581-03EB899A4F67},116.70143289000001,56.458795669903395
Lawn,Green College,Green College,,,,,{C2460FF4-470A-4E24-AA8D-68EF06D38946},4.2740522850000007,10.2930017398013
Planting Bed,Cecil Green Park House,Cecil Green Park Hou,Garden,,,,{89B8074A-73A8-48D1-82F7-9FDB5EDCF838},37.439541159999997,31.551805663846999
Planting Bed,Cecil Green Park House,Cecil Green Park Hou,Garden,,,,{53FAAAA8-3493-435F-8248-AC1A0BF1BDD0},21.424315465000003,17.5621546425559
Planting Bed,Cecil Green Park House,Cecil Green Park Hou,Garden,,,,{A93E7823-4CE7-486D-A1B3-A22595B2BB14},224.658360085,104.205350031554
Planting Bed,Cecil Green Park House,Cecil Green Park Hou,Garden,,,,{647551D6-8FB4-4715-99DF-5835D0884CED},204.86711299500001,81.254932220822198
Planting Bed,Cecil Green Park House,Cecil Green Park Hou,Garden,,,,{33A75EB5-2E7A-4751-9843-3A4E40CF18A7},7.6898352549999993,12.454679975914498
Lawn,Walter Gage Residence,Walter Gage Residenc,,,,,{5B58130F-4753-444F-B4E1-A51E2F93BD57},72.026688734999993,64.540110310634503
Lawn,Place Vanier Residence,Place Vanier Residen,,,,,{15BF2BD1-9668-4362-99E2-94EB273D942C},666.90980296499993,118.26610692564302
Planting Bed,Place Vanier Residence,Place Vanier Residen,,,,,{CE99737D-20A6-414B-BDD1-4AE9F4FCE243},103.60936508,49.875869528114393
Lawn,Walter Gage Residence,Walter Gage Residenc,,,,,{FE3D043A-A100-4575-B143-07F6ABBABAB2},198.14534084500002,79.815407674232489
Lawn,Marine Towers,,,,,,{D9B7F066-608A-459D-9F36-8B3F2887969D},903.46513490999996,124.591258108329
Planting Bed,Walter Gage Residence,Walter Gage Residenc,,,,,{FA366B6F-E4AF-4E25-8952-CFB11A144167},466.51215381999998,96.995698399684485
Planting Bed,Public,Public,,,,,{D5118005-2713-4F4F-B8C6-9461170FBE0F},187.61763397500002,88.230446127425594
Lawn,Public,Westbrook Mall,,,,,{A005343C-B6DA-4205-8B92-FFEB6149E1AD},12.690440284999999,14.9507302525434
Planting Bed,Norman Mackenzie House,Norman Mackenzie Hou,Garden,,,,{E9613C40-B261-4B37-B88D-209CCDD28BFF},49.430923440000001,46.839581685685395
Planting Bed,Norman Mackenzie House,Norman Mackenzie Hou,Garden,,,,{2F2A609A-B29A-4986-8503-3034ACC199A4},50.726956985000001,62.168842697009396
Planting Bed,Norman Mackenzie House,Norman Mackenzie Hou,Garden,,,,{000C2E71-3467-4BE9-9A5D-0695D5557CE1},5.5295864000000003,9.7835075870227897
Lawn,Public,Westbrook Mall,,,,,{706373BB-791F-4992-9AD9-EED535C49B46},511.21472998000002,137.985742417474
Lawn,,Westbrook Mall,,,,,{3C71A7AE-0027-41E3-B8F6-A994B7687977},1071.1232595450001,592.53528882545606
Lawn,Public,Westbrook Mall,,,,,{8CE030E2-7AF8-40A9-8205-89AD64D183E2},102.97150159499999,54.882401086418092
Lawn,,,,,,No,{D889D31E-F2A6-46FB-9553-B2ADE8D0F02B},64.25340138,47.799826235971494
Planting Bed,Extended Care Hospital,Extended Care Hospit,,,,,{5DFF7AF2-A063-4BFD-A4CE-4782CAF98A92},144.69486426500001,68.644956298906692
Planting Bed,Ponderosa F,Ponderosa F,,,,,{B9D82ECB-3CA1-4C3E-A99D-E6022C2C3F0C},15.210574360000001,16.0245984028446
Planting Bed,First Nations Longhouse,First Nations Longho,,,,,{03D7D8FF-48F2-485A-AE9A-E6A2E4D28DDC},25.20585548,20.127596215487202
Planting Bed,First Nations Longhouse,First Nations Longho,,,,,{A3B954C7-35A9-4482-895E-1842A29794A9},25.742656270000001,23.616800087439
Planting Bed,M21/M22,M21/M22,,,,,{50AFF3A4-7205-4E62-91A2-DA344F58764E},16.876255825000001,28.245459799763502
Lawn,Continuing Studies,Continuing Studies,,,,,{0D992F38-2717-43A4-9C9E-63E6BB51B4C4},10.04174868,12.6909716521841
Planting Bed,Frederic Wood Theatre,Frederic Wood Theatr,,,,,{049E42E9-B460-4291-906A-C62F61E370FD},9.67151505,12.443628342792
Planting Bed,Frederic Wood Theatre,Frederic Wood Theatr,,,,,{ED438305-F325-402B-AA85-2E67E62F41FC},16.098950949999999,16.676641957628
Planting Bed,Buchanan,Buchanan,,,,,{BEC13727-B6F8-4136-AE62-09681FF1C6DC},123.80063697999999,45.932757186155001
Planting Bed,Buchanan,Buchanan,,,,,{878E9E36-1EBC-4EE7-9EA2-601A8CD983E2},82.234416550000006,34.452252153618701
Planting Bed,Buchanan,Buchanan,,,,,{366B0C1C-559A-46AE-9F96-51E6524273C6},89.724840215,35.054538004274704
Planting Bed,Buchanan,Buchanan,,,,,{0496644F-94C9-4EFC-AE2B-E9D728EF2B38},87.420843230000003,35.736863630098597
Planting Bed,Buchanan,Buchanan,,,,,{499D43D1-A49E-4F51-BF95-54195CC49F01},333.11165584000003,93.118418917544489
Planting Bed,Brock Hall,Brock Hall,,,,,{B2F3C5F0-CC9C-4B68-B201-DC40E6421539},30.837998705,27.465011195191302
Planting Bed,Brock Hall,Brock Hall,,,,,{79CA5B03-166A-43D2-877C-24769C16F6BD},54.578330909999998,36.299461566625403
Planting Bed,SUB,SUB,,,,,{0885186F-5336-4012-867E-05E260419E59},196.59043549,85.453735060165201
Planting Bed,SUB,SUB,,,,,{D5634791-21B4-458F-B648-56FC41D26B3D},10.191118684999999,12.7734475833847
Planting Bed,SUB,SUB,,,,,{0E92BDE9-B186-4BD6-AC7F-9A9F64337BD6},17.307688625000001,17.081482366409197
Planting Bed,SUB,SUB,,,,,{57850237-C557-46A6-8997-66084306975C},17.27020851,17.098341848936698
Planting Bed,Hillel House,Hillel House,,,,,{0FD241BB-E5A4-40BD-96EB-567526A1ED2D},2.6379740700000003,8.0695208464545889
Planting Bed,North Parkade,North Parkade,,,,,{74B7751B-11CE-4B72-B48B-B49775D0B5B6},66.110879225000005,30.847205150327198
Planting Bed,Walter Gage Residence,Walter Gage Residenc,,,,,{BD0809E2-A51A-4907-8DDA-5A53766145BB},18.515322105000003,18.844446529397096
Planting Bed,Walter Gage Residence,Walter Gage Residenc,,,,,{0FB73F7B-68EF-4224-B9E7-BF12CB89E79C},55.272161985000004,38.416808641210899
Planting Bed,Walter Gage Residence,Walter Gage Residenc,,,,,{7C26B8A2-B52E-4487-BEF7-93041C9B2CAE},69.574075765000003,43.927108250265
Planting Bed,Walter Gage Residence,Walter Gage Residenc,,,,,{3093D75F-5A30-4E26-9E77-37F3AF3108E3},160.25052506500001,59.062680256506503
Planting Bed,Walter Gage Residence,Walter Gage Residenc,,,,,{48103E71-D292-442C-9E91-A41497215D14},56.725061595,36.198037885608102
Planting Bed,Administration,Administration,,,,,{E484B730-E0AA-47A1-9FEA-7ADDF5CA85E4},2.2380217299999998,6.0593082144261299
